time_sec,gps_recentLatitudeN,gps_recentLongitudeE,gps_horizontalAccuracy_mm,gps_verticalAccuracy_mm,gps_vehicleHeading_degs,gps_headingAccuracyEstimate_degs,compass_heading_degs
1686563119.4973688,13.648653,100.4649327,14,10,358.62672,14.54536,351.35
1686563120.5671833,13.6486569,100.4649322,14,10,1.5857,10.31404,352.57
1686563121.6365771,13.6486618,100.4649307,14,10,340.15788,16.28912,6.2
1686563122.7176785,13.6486635,100.4649303,14,10,357.68704,22.36686,19.65
1686563123.792817,13.6486644,100.4649302,14,10,353.00124,119.95746,37.41
1686563124.8757277,13.6486659,100.4649309,14,10,28.88242,28.59389,66.04
1686563125.9465454,13.648667,100.4649318,14,10,45.37831,14.04568,80.79
1686563127.0231829,13.6486688,100.4649343,14,10,62.97908,14.90854,82.3
1686563128.101522,13.6486692,100.4649382,14,11,102.48002,15.5326,91.59
1686563129.179174,13.6486683,100.464941,14,10,110.441,13.28301,109.54
1686563130.2485552,13.6486682,100.4649411,14,10,299.83154,180.0,131.19
1686563131.3290086,13.6486677,100.4649421,14,15,132.3749,24.86982,145.78
1686563132.400676,13.6486669,100.4649433,14,11,138.67126,36.1144,147.38
1686563133.463926,13.648665,100.4649445,14,10,157.02698,19.61251,148.39
1686563134.5406895,13.648662,100.4649456,14,10,348.85116,180.0,147.38
1686563135.6126,13.648662,100.4649455,14,10,348.85116,180.0,147.38
1686563136.6797197,13.648661,100.4649461,14,10,143.88886,21.68785,147.38
1686563137.7496114,13.6486577,100.4649485,14,10,154.8383,63.23844,147.38
1686563138.8170342,13.6486574,100.4649487,14,10,138.36582,180.0,147.38
1686563139.8867967,13.6486574,100.4649487,14,10,138.36582,141.59946,150.02
1686563140.9544713,13.6486574,100.4649487,14,10,138.36582,117.48768,145.78
1686563142.01882,13.6486575,100.4649486,14,10,138.36582,89.5284,154.29
1686563143.0989096,13.648657,100.464949,14,10,153.14926,22.11312,162.18
1686563144.1723876,13.6486563,100.4649494,14,10,335.69924,117.48226,164.58
1686563145.246631,13.6486567,100.4649493,14,10,150.42496,80.87424,168.31
1686563146.3188727,13.6486545,100.4649497,14,10,163.84072,26.35547,174.29
1686563147.4017742,13.6486532,100.4649503,14,10,341.9038,84.42998,172.41
1686563148.471444,13.6486522,100.4649503,14,10,183.45932,23.12118,172.15
1686563149.538642,13.6486511,100.4649504,14,10,183.71734,26.84415,174.29
1686563150.6105354,13.6486476,100.4649513,14,10,169.96898,13.57465,176.19
1686563151.6825838,13.6486447,100.4649522,14,10,138.88468,13.16649,176.19
1686563152.7596571,13.6486432,100.4649525,14,10,158.20888,180.0,170.22
1686563153.8307087,13.6486411,100.4649529,14,10,164.83256,13.72412,170.22
1686563154.896471,13.6486378,100.4649538,14,10,176.8407,14.57649,172.15
1686563155.9613497,13.6486338,100.4649549,14,10,158.17304,13.01852,174.09
1686563157.0343983,13.6486318,100.464956,14,10,24.10438,70.25912,170.22
1686563158.1108308,13.648631,100.4649561,14,10,164.38612,25.12611,176.19
1686563159.180089,13.6486288,100.4649564,14,10,171.18268,13.84052,180.0
1686563160.2562525,13.6486239,100.4649578,14,10,169.65488,13.49811,181.91
1686563161.3311288,13.6486227,100.4649583,14,10,193.0719,84.84168,189.46
1686563162.4002016,13.6486209,100.4649578,14,10,219.50442,17.81581,194.93
1686563163.4649189,13.6486205,100.4649579,14,10,167.23344,19.3356,209.74
1686563164.5273695,13.6486188,100.4649579,14,10,190.9389,23.96233,231.84
1686563165.595362,13.6486163,100.4649575,14,10,184.28472,16.76819,248.2
